province,industry,job_count
AN GIANG,KINH DOANH,4
AN GIANG,NHÂN SỰ,1
AN GIANG,XÂY DỰNG,1
AN GIANG,ĐIỆN,1
BA RIA - VUNG TAU,DỊCH VỤ KHÁCH HÀNG,1
BA RIA - VUNG TAU,HẬU CẦN,2
BA RIA - VUNG TAU,KINH DOANH,2
BA RIA - VUNG TAU,XÂY DỰNG,1
BAC GIANG,BIÊN PHIÊN DỊCH,1
BAC GIANG,BẤT ĐỘNG SẢN,1
BAC NINH,BIÊN PHIÊN DỊCH,2
BAC NINH,BẤT ĐỘNG SẢN,1
BAC NINH,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),2
BAC NINH,CÔNG NGHỆ THÔNG TIN,1
BAC NINH,GIÁO DỤC,1
BAC NINH,KHOA HỌC & KỸ THUẬT,1
BAC NINH,KINH DOANH,13
BAC NINH,KIẾN TRÚC,1
BAC NINH,KẾ TOÁN,17
BAC NINH,LOGISTICS,10
BAC NINH,MARKETING,4
BAC NINH,NHÂN SỰ,11
BAC NINH,NĂNG LƯỢNG,1
BAC NINH,PHIM VÀ TRUYỀN HÌNH,1
BAC NINH,SẢN XUẤT,22
BAC NINH,THIẾT KẾ,1
BAC NINH,TÀI CHÍNH,1
BAC NINH,XÂY DỰNG,21
BAC NINH,ĐIỆN,13
BINH DINH,LOGISTICS,1
BINH DINH,XÂY DỰNG,4
BINH DUONG,HÀNH CHÍNH VĂN PHÒNG,1
BINH DUONG,KINH DOANH,3
BINH DUONG,KỸ THUẬT,1
BINH DUONG,LOGISTICS,1
BINH DUONG,MARKETING,1
BINH DUONG,NHÂN SỰ,2
BINH DUONG,SẢN XUẤT,3
BINH DUONG,XÂY DỰNG,2
BINH THUAN,KẾ TOÁN,1
BINH THUAN,SẢN XUẤT,1
CA MAU,KẾ TOÁN,1
CA MAU,SẢN XUẤT,1
CAN THO,KINH DOANH,12
CAN THO,KẾ TOÁN,3
CAN THO,LOGISTICS,1
CAN THO,MARKETING,3
CAN THO,NHÂN SỰ,1
CAN THO,PHIM VÀ TRUYỀN HÌNH,1
CAN THO,SẢN XUẤT,5
CAN THO,TÀI CHÍNH,1
CAN THO,XÂY DỰNG,2
DA NANG,BÁN LẺ,1
DA NANG,BẤT ĐỘNG SẢN,1
DA NANG,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),10
DA NANG,CÔNG NGHỆ THÔNG TIN,6
DA NANG,DƯỢC,1
DA NANG,GIÁO DỤC,4
DA NANG,KINH DOANH,48
DA NANG,KẾ TOÁN,13
DA NANG,LOGISTICS,4
DA NANG,LUẬT,2
DA NANG,MARKETING,20
DA NANG,NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,1
DA NANG,NHÀ HÀNG,4
DA NANG,NHÂN SỰ,5
DA NANG,SẢN XUẤT,12
DA NANG,THIẾT KẾ,2
DA NANG,TÀI CHÍNH,2
DA NANG,XÂY DỰNG,18
DA NANG,ĐIỆN,3
DAK LAK,DƯỢC,1
DAK LAK,KINH DOANH,9
DAK LAK,KẾ TOÁN,1
DAK LAK,MARKETING,1
DAK LAK,SẢN XUẤT,1
DIEN BIEN,XÂY DỰNG,1
DONG NAI,BIÊN PHIÊN DỊCH,3
DONG NAI,BÁN LẺ,2
DONG NAI,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),2
DONG NAI,CÔNG NGHỆ THÔNG TIN,2
DONG NAI,DƯỢC,5
DONG NAI,GIÁO DỤC,2
DONG NAI,KHOA HỌC & KỸ THUẬT,1
DONG NAI,KINH DOANH,20
DONG NAI,KẾ TOÁN,11
DONG NAI,LOGISTICS,6
DONG NAI,MARKETING,4
DONG NAI,NHÀ HÀNG,6
DONG NAI,NHÂN SỰ,8
DONG NAI,NĂNG LƯỢNG,2
DONG NAI,SẢN XUẤT,23
DONG NAI,THIẾT KẾ,1
DONG NAI,XÂY DỰNG,17
DONG NAI,ĐIỆN,5
DONG THAP,BIÊN PHIÊN DỊCH,1
DONG THAP,BÁN LẺ,1
DONG THAP,CÔNG NGHỆ THÔNG TIN,1
DONG THAP,KINH DOANH,3
DONG THAP,KẾ TOÁN,2
DONG THAP,MARKETING,1
DONG THAP,NHÂN SỰ,2
DONG THAP,SẢN XUẤT,9
DONG THAP,XÂY DỰNG,1
DONG THAP,ĐIỆN,1
GIA LAI,KINH DOANH,2
GIA LAI,KẾ TOÁN,1
GIA LAI,NHÂN SỰ,2
GIA LAI,NHÓM NGHỀ KHÁC,1
GIA LAI,NĂNG LƯỢNG,2
GIA LAI,SẢN XUẤT,3
HA NAM,DƯỢC,1
HA NAM,DỆT MAY,1
HA NAM,KINH DOANH,1
HA NAM,LOGISTICS,1
HA NAM,MARKETING,1
HA NAM,NHÂN SỰ,4
HA NAM,SẢN XUẤT,1
HA NAM,XÂY DỰNG,1
HA NOI,BIÊN PHIÊN DỊCH,33
HA NOI,BÁN LẺ,39
HA NOI,BẤT ĐỘNG SẢN,19
HA NOI,CEO & GENERAL MANAGEMENT,2
HA NOI,CHÍNH PHỦ,1
HA NOI,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),125
HA NOI,CÔNG NGHỆ THÔNG TIN,290
HA NOI,DƯỢC,23
HA NOI,DỆT MAY,1
HA NOI,DỊCH VỤ KHÁCH HÀNG,2
HA NOI,GIÁO DỤC,90
HA NOI,HÀNH CHÍNH VĂN PHÒNG,4
HA NOI,HẬU CẦN,3
HA NOI,KHOA HỌC & KỸ THUẬT,12
HA NOI,KINH DOANH,636
HA NOI,KIẾN TRÚC,17
HA NOI,KẾ TOÁN,474
HA NOI,KỸ THUẬT,7
HA NOI,LOGISTICS,147
HA NOI,LUẬT,7
HA NOI,MARKETING,537
HA NOI,NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,9
HA NOI,NHÀ HÀNG,52
HA NOI,NHÂN SỰ,210
HA NOI,NHÓM NGHỀ KHÁC,34
HA NOI,NĂNG LƯỢNG,7
HA NOI,PHIM VÀ TRUYỀN HÌNH,10
HA NOI,PHÁP LÝ,1
HA NOI,SẢN XUẤT,135
HA NOI,THIẾT KẾ,36
HA NOI,TIẾP THỊ,4
HA NOI,TÀI CHÍNH,41
HA NOI,TƯ VẤN CHUYÊN MÔN,5
HA NOI,XÂY DỰNG,264
HA NOI,ĐIỆN,73
HA TINH,KINH DOANH,2
HA TINH,SẢN XUẤT,1
HA TINH,XÂY DỰNG,2
HA TINH,ĐIỆN,2
HAI DUONG,KHOA HỌC & KỸ THUẬT,1
