province,province_job_count
HA NOI,3350
TP HO CHI MINH,2870
UNKNOWN,1539
HAI PHONG,176
DA NANG,157
BAC NINH,124
DONG NAI,120
HUNG YEN,85
NGHE AN,69
TAY NINH,65
NINH BINH,59
OVERSEAS,59
THANH HOA,37
PHU THO,33
QUANG NINH,32
KHANH HOA,31
LAM DONG,31
CAN THO,29
DONG THAP,22
THAI NGUYEN,19
BINH DUONG,14
DAK LAK,13
GIA LAI,11
HA NAM,11
HAI DUONG,10
LAO CAI,8
THAI BINH,8
AN GIANG,7
HA TINH,7
QUANG NGAI,7
BA RIA - VUNG TAU,6
THUA THIEN HUE,6
BINH DINH,5
HOA BINH,5
QUANG TRI,5
LONG AN,4
TUYEN QUANG,4
NAM DINH,3
SON LA,3
TIEN GIANG,3
YEN BAI,3
BAC GIANG,2
BINH THUAN,2
CA MAU,2
LAI CHAU,2
DIEN BIEN,1
QUANG NAM,1
